,C,N,P
DeadMic,0,0,0
DeadEnz,0,0,0
Cellulose,146.89,0,0
Hemicellulose,85.855,0,0
Starch,12.21,0,0
Chitin,4.9952,0.83254,0
Lignin,48.51,0.40425,0
Protein1,10.6,2.09704,0
Protein2,10.6,2.09704,0
Protein3,10.6,2.09704,0
OrgP1,12.48,0,0.478469
OrgP2,1.8182,0.79745,0.478469
