,Temp,FM,Psi,Date
786,12.89311458,32.69723958,-1.163924598,2/9/11
787,14.12852083,26.25425,-1.494789113,2/10/11
788,15.84677083,23.770625,-1.674099257,2/11/11
789,19.04675,22.01713542,-1.826922654,2/12/11
790,15.92471875,21.80497917,-1.847200417,2/13/11
791,10.96576042,22.60201042,-1.773126939,2/14/11
792,11.63857292,24.0501875,-1.65193303,2/15/11
793,11.87271875,45.21897917,-0.804269926,2/16/11
794,8.5089375,67.94875,-0.505569203,2/17/11
795,8.799697917,66.5728125,-0.517498407,2/18/11
796,9.362604167,69.669375,-0.491359895,2/19/11
797,6.64896875,70.19172917,-0.487193534,2/20/11
798,7.3815625,69.44090625,-0.493203279,2/21/11
799,7.833583333,67.76964583,-0.507092681,2/22/11
800,7.799041667,64.70153125,-0.534594999,2/23/11
801,8.813885417,61.09730208,-0.57069277,2/24/11
802,8.687885417,57.4124375,-0.612633393,2/25/11
803,7.891083333,66.380625,-0.519206791,2/26/11
804,5.263958333,67.94307292,-0.505617361,2/27/11
805,9.2076875,64.61758333,-0.535386822,2/28/11
806,9.288479167,57.1249375,-0.616149567,3/1/11
807,10.12026042,53.85938542,-0.658915161,3/2/11
808,12.6196875,52.72679167,-0.675074579,3/3/11
809,11.85870833,51.78010417,-0.689162694,3/4/11
810,19.08110417,45.72041667,-0.794221947,3/5/11
811,14.25886458,39.18645833,-0.946874526,3/6/11
812,11.0624375,58.06207292,-0.604825366,3/7/11
813,10.84827083,67.36890625,-0.510532816,3/8/11
814,17.530125,63.27665306,-0.548339964,3/9/11
815,17.78058333,54.89096939,-0.644816975,3/10/11
816,14.62384375,49.75386458,-0.721248485,3/11/11
817,12.07852083,44.90677083,-0.810647422,3/12/11
818,11.78588542,40.60342708,-0.909297549,3/13/11
819,13.57873958,37.30630208,-1.001465004,3/14/11
820,15.37309375,34.51116667,-1.094443882,3/15/11
821,14.3015,32.07405208,-1.189740162,3/16/11
822,13.36286458,30.67517708,-1.251786372,3/17/11
823,12.28875,29.33645833,-1.317112074,3/18/11
824,10.99060417,27.86627083,-1.396617873,3/19/11
825,10.34551042,27.81470833,-1.399569749,3/20/11
826,8.413,66.5990625,-0.517265885,3/21/11
827,9.08878125,69.07773958,-0.496160326,3/22/11
828,8.4511875,67.71266667,-0.50757916,3/23/11
829,8.026083333,69.54777083,-0.492339436,3/24/11
830,10.29464583,69.63554167,-0.49163206,3/25/11
831,9.267520833,69.81961458,-0.490154731,3/26/11
832,10.74879167,69.72973958,-0.490875006,3/27/11
833,10.70876042,69.84329167,-0.489965309,3/28/11
834,12.20442708,68.89827083,-0.49763395,3/29/11
835,16.18497917,66.09192708,-0.521793056,3/30/11
836,22.37526042,60.04040625,-0.582159192,3/31/11
837,22.44321875,55.0128125,-0.643189138,4/1/11
838,15.60986458,49.37108333,-0.727626755,4/2/11
839,13.32244792,44.75901042,-0.813698932,4/3/11
840,14.39328125,38.36407292,-0.970048217,4/4/11
841,15.38123958,32.72713542,-1.162712593,4/5/11
842,13.22930208,30.20196875,-1.274169776,4/6/11
843,12.62086458,29.88498958,-1.289587885,4/7/11
844,8.01171875,32.559,-1.169559936,4/8/11
845,6.586197917,45.71095833,-0.794409294,4/9/11
846,10.26535417,48.3536875,-0.745105459,4/10/11
847,12.48523958,37.80753125,-0.986343539,4/11/11
848,13.02959375,30.94892708,-1.239171759,4/12/11
849,12.55960417,27.54317708,-1.415309721,4/13/11
850,12.60920833,25.43388542,-1.549876163,4/14/11
851,18.78069792,22.65440625,-1.768452619,4/15/11
852,21.31609375,21.250125,-1.902284158,4/16/11
853,19.07240625,20.47805208,-1.98425935,4/17/11
854,13.57097917,21.26702083,-1.900561381,4/18/11
855,14.06153125,24.07164583,-1.650254379,4/19/11
856,14.20598958,23.90389583,-1.663463151,4/20/11
857,13.46530208,24.07380208,-1.650085876,4/21/11
858,13.2276875,24.490875,-1.618089668,4/22/11
859,13.61989583,23.46214583,-1.699214778,4/23/11
860,12.48438542,23.52958333,-1.69366401,4/24/11
